,iso_code,region_group,income_group,country,survey,year,category,sex,location,wealth,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
28300,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Sex & Speaks Language At Home & Wealth,Male,,Quintile 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241600007,43.0,,,,,,,,,,,,,,
28301,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Sex & Speaks Language At Home & Wealth,Male,,Quintile 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.494599998,106.0,,,,,0.212899998,35.0,,,,,,,,
28610,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Speaks Language At Home & Wealth,,Urban,Quintile 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335999995,48.0,,,,,,,,,,,,,,
28611,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Speaks Language At Home & Wealth,,Urban,Quintile 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.320199996,53.0,,,,,,,,,,,,,,
28612,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Speaks Language At Home & Wealth,,Urban,Quintile 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34799999,69.0,,,,,,,,,,,,,,
28613,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Speaks Language At Home & Wealth,,Urban,Quintile 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539399981,150.0,,,,,0.239500001,57.0,,,,,,,,
28614,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Speaks Language At Home & Wealth,,Rural,Quintile 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194700003,30.0,,,,,,,,,,,,,,
51959,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,HYS,2010,Location,,Rural,,0.49000001,0.153999999,0.042800002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51960,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,HYS,2010,Location,,Urban,,0.840699971,0.527100027,0.2148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51961,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,HYS,2010,Location & Sex,Female,Rural,,0.495599985,0.096500002,0.026699999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51962,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,HYS,2010,Location & Sex,Female,Urban,,0.842599988,0.539300025,0.252000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51963,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,HYS,2010,Location & Sex,Male,Rural,,0.483799994,0.210999995,0.065099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51964,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,HYS,2010,Location & Sex,Male,Urban,,0.838800013,0.517499983,0.178499997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51965,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,HYS,2010,Sex,Female,,,0.692799985,0.346500009,0.151700005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51966,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,HYS,2010,Sex,Male,,,0.694999993,0.401600003,0.137600005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51967,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,HYS,2010,Total,,,,0.693899989,0.376100004,0.145099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60280,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.210099995,1810.0,,,,,0.0678,585.0,,,,,0.0087,74.0,,
60350,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Sex,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246199995,1011.0,,,,,0.079400003,327.0,,,,,0.0094,34.0,,
60351,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Sex,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177200004,798.0,,,,,0.0572,258.0,,,,,0.0081,40.0,,
60434,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Location,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231700003,1685.0,,,,,0.075599998,549.0,,,,,0.0094,69.0,,
60492,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Speaks Language At Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217700005,1661.0,,,,,0.071400002,537.0,,,,,0.0095,70.0,,
60639,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Wealth,,,Quintile 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177699998,129.0,,,,,0.054499999,39.0,,,,,,,,
60640,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Wealth,,,Quintile 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188299999,136.0,,,,,0.045299999,35.0,,,,,,,,
60641,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2011,Wealth,,,Quintile 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257200003,179.0,,,,,0.076700002,53.0,,,,,,,,
